,name,fold,r2,params,estimator
50,diabetes,16,0.2186930955993931,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
51,diabetes,17,0.26366206030150763,{'random_state': 5},FlippingDecisionTreeRegressor
52,diabetes,17,0.26366206030150763,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
53,diabetes,17,0.5018467336683416,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
54,diabetes,18,0.11846061334936875,{'random_state': 5},FlippingDecisionTreeRegressor
55,diabetes,18,0.11846061334936875,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
56,diabetes,18,0.4107703614618826,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
57,diabetes,19,-2.079533404029691,{'random_state': 5},FlippingDecisionTreeRegressor
58,diabetes,19,-2.079533404029691,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
59,diabetes,19,-1.291537645811243,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
60,diabetes,20,0.05294638901196291,{'random_state': 5},FlippingDecisionTreeRegressor
61,diabetes,20,0.05294638901196291,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
62,diabetes,20,0.1253475299069563,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
63,diabetes,21,-0.7374358033749091,{'random_state': 5},FlippingDecisionTreeRegressor
64,diabetes,21,-0.7374358033749091,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
65,diabetes,21,-0.8506823184152608,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
66,diabetes,22,0.29198841698841727,{'random_state': 5},FlippingDecisionTreeRegressor
67,diabetes,22,0.29198841698841727,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
68,diabetes,22,0.40616035970372666,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
69,diabetes,23,0.30991810737033665,{'random_state': 5},FlippingDecisionTreeRegressor
70,diabetes,23,0.30991810737033665,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
71,diabetes,23,0.31122474977252024,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
72,diabetes,24,-5.401284109149276,{'random_state': 5},FlippingDecisionTreeRegressor
73,diabetes,24,-5.401284109149276,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
74,diabetes,24,-5.732341715712505,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
75,diabetes,25,-0.13798294029101843,{'random_state': 5},FlippingDecisionTreeRegressor
76,diabetes,25,-0.13798294029101843,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
77,diabetes,25,0.7606623181133967,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
78,diabetes,26,0.4223684210526314,{'random_state': 5},FlippingDecisionTreeRegressor
79,diabetes,26,0.4223684210526314,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
80,diabetes,26,0.44345614035087777,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
81,diabetes,27,-1.1273584905660372,{'random_state': 5},FlippingDecisionTreeRegressor
82,diabetes,27,-1.1273584905660372,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
83,diabetes,27,-1.0724104736234108,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
84,diabetes,28,0.06981416373681537,{'random_state': 5},FlippingDecisionTreeRegressor
85,diabetes,28,0.06981416373681537,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
86,diabetes,28,-0.11476644902059219,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
87,diabetes,29,-1.0742987111448064,{'random_state': 5},FlippingDecisionTreeRegressor
88,diabetes,29,-1.0742987111448064,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
89,diabetes,29,-0.28364291129643693,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
90,diabetes,30,-1.6826036866359444,{'random_state': 5},FlippingDecisionTreeRegressor
91,diabetes,30,-1.6826036866359444,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
92,diabetes,30,-0.20309037900874682,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
93,diabetes,31,0.038237528488224815,{'random_state': 5},FlippingDecisionTreeRegressor
94,diabetes,31,0.038237528488224815,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
95,diabetes,31,0.482622499366928,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
96,diabetes,32,-1.3826808721506438,{'random_state': 5},FlippingDecisionTreeRegressor
97,diabetes,32,-1.3826808721506438,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
98,diabetes,32,-1.2948441324002347,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
99,diabetes,33,-5.868263473053895,{'random_state': 5},FlippingDecisionTreeRegressor
100,diabetes,33,-5.868263473053895,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
101,diabetes,33,-1.4028875582169018,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
102,diabetes,34,-1.4556521739130428,{'random_state': 5},FlippingDecisionTreeRegressor
103,diabetes,34,-1.4556521739130428,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
104,diabetes,34,-0.0501951690821254,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
105,diabetes,35,0.490554329840044,{'random_state': 5},FlippingDecisionTreeRegressor
106,diabetes,35,0.490554329840044,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
107,diabetes,35,0.4302492415885273,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
108,diabetes,36,-0.7548494983277596,{'random_state': 5},FlippingDecisionTreeRegressor
109,diabetes,36,-0.7548494983277596,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeRegressor
110,diabetes,36,0.2600050167224083,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeRegressor
