,name,fold,auc,params,estimator
50,appendicitis,16,0.4411764705882353,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
51,appendicitis,17,0.9705882352941176,{'random_state': 5},FlippingDecisionTreeClassifier
52,appendicitis,17,0.9705882352941176,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
53,appendicitis,17,1.0,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
54,appendicitis,18,0.6911764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
55,appendicitis,18,0.6911764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
56,appendicitis,18,0.6691176470588235,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
57,appendicitis,19,0.8235294117647058,{'random_state': 5},FlippingDecisionTreeClassifier
58,appendicitis,19,0.8235294117647058,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
59,appendicitis,19,0.7426470588235294,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
60,appendicitis,20,0.7411764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
61,appendicitis,20,0.7411764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
62,appendicitis,20,0.7941176470588235,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
63,appendicitis,21,0.573529411764706,{'random_state': 5},FlippingDecisionTreeClassifier
64,appendicitis,21,0.573529411764706,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
65,appendicitis,21,0.6838235294117647,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
66,appendicitis,22,0.8602941176470588,{'random_state': 5},FlippingDecisionTreeClassifier
67,appendicitis,22,0.8602941176470588,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
68,appendicitis,22,0.7647058823529411,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
69,appendicitis,23,0.7573529411764706,{'random_state': 5},FlippingDecisionTreeClassifier
70,appendicitis,23,0.7573529411764706,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
71,appendicitis,23,0.8235294117647058,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
72,appendicitis,24,0.8161764705882352,{'random_state': 5},FlippingDecisionTreeClassifier
73,appendicitis,24,0.8161764705882352,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
74,appendicitis,24,0.8014705882352942,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
75,appendicitis,25,0.6705882352941176,{'random_state': 5},FlippingDecisionTreeClassifier
76,appendicitis,25,0.6705882352941176,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
77,appendicitis,25,0.6647058823529411,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
78,appendicitis,26,0.875,{'random_state': 5},FlippingDecisionTreeClassifier
79,appendicitis,26,0.875,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
80,appendicitis,26,0.7647058823529411,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
81,appendicitis,27,0.7205882352941175,{'random_state': 5},FlippingDecisionTreeClassifier
82,appendicitis,27,0.7205882352941175,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
83,appendicitis,27,0.7058823529411765,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
84,appendicitis,28,0.4411764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
85,appendicitis,28,0.4411764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
86,appendicitis,28,0.9558823529411764,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
87,appendicitis,29,0.7867647058823529,{'random_state': 5},FlippingDecisionTreeClassifier
88,appendicitis,29,0.7867647058823529,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
89,appendicitis,29,0.8529411764705882,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
90,appendicitis,30,0.8588235294117648,{'random_state': 5},FlippingDecisionTreeClassifier
91,appendicitis,30,0.8588235294117648,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
92,appendicitis,30,0.776470588235294,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
93,appendicitis,31,0.838235294117647,{'random_state': 5},FlippingDecisionTreeClassifier
94,appendicitis,31,0.838235294117647,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
95,appendicitis,31,0.75,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
96,appendicitis,32,0.5661764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
97,appendicitis,32,0.5661764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
98,appendicitis,32,0.7426470588235294,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
99,appendicitis,33,0.676470588235294,{'random_state': 5},FlippingDecisionTreeClassifier
100,appendicitis,33,0.676470588235294,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
101,appendicitis,33,0.6617647058823529,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
102,appendicitis,34,0.6691176470588236,{'random_state': 5},FlippingDecisionTreeClassifier
103,appendicitis,34,0.6691176470588236,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
104,appendicitis,34,0.8823529411764706,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
105,appendicitis,35,0.7941176470588236,{'random_state': 5},FlippingDecisionTreeClassifier
106,appendicitis,35,0.7941176470588236,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
107,appendicitis,35,0.8058823529411765,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
108,appendicitis,36,0.7058823529411764,{'random_state': 5},FlippingDecisionTreeClassifier
109,appendicitis,36,0.7058823529411764,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
110,appendicitis,36,0.6176470588235293,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
111,appendicitis,37,0.5514705882352942,{'random_state': 5},FlippingDecisionTreeClassifier
112,appendicitis,37,0.5514705882352942,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
113,appendicitis,37,0.7867647058823529,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
114,appendicitis,38,0.8455882352941176,{'random_state': 5},FlippingDecisionTreeClassifier
115,appendicitis,38,0.8455882352941176,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
116,appendicitis,38,0.8088235294117647,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
117,appendicitis,39,0.5367647058823529,{'random_state': 5},FlippingDecisionTreeClassifier
118,appendicitis,39,0.5367647058823529,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
119,appendicitis,39,0.4705882352941176,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
120,appendicitis,40,0.711764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
121,appendicitis,40,0.711764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
122,appendicitis,40,0.6352941176470589,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
123,appendicitis,41,0.6911764705882353,{'random_state': 5},FlippingDecisionTreeClassifier
124,appendicitis,41,0.6911764705882353,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
125,appendicitis,41,0.6911764705882353,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
126,appendicitis,42,0.713235294117647,{'random_state': 5},FlippingDecisionTreeClassifier
127,appendicitis,42,0.713235294117647,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
128,appendicitis,42,0.6911764705882353,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
129,appendicitis,43,0.5,{'random_state': 5},FlippingDecisionTreeClassifier
130,appendicitis,43,0.5,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
131,appendicitis,43,0.8088235294117647,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
132,appendicitis,44,0.8161764705882352,{'random_state': 5},FlippingDecisionTreeClassifier
133,appendicitis,44,0.8161764705882352,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
134,appendicitis,44,0.75,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
135,appendicitis,45,0.7588235294117647,{'random_state': 5},FlippingDecisionTreeClassifier
136,appendicitis,45,0.7588235294117647,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
137,appendicitis,45,0.8352941176470587,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
138,appendicitis,46,0.8602941176470588,{'random_state': 5},FlippingDecisionTreeClassifier
139,appendicitis,46,0.8602941176470588,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
140,appendicitis,46,0.7426470588235294,"{'random_state': 5, 'min_samples_leaf': 0.1}",FlippingDecisionTreeClassifier
141,appendicitis,47,0.7205882352941175,{'random_state': 5},FlippingDecisionTreeClassifier
142,appendicitis,47,0.7205882352941175,"{'random_state': 5, 'min_samples_leaf': 0.01}",FlippingDecisionTreeClassifier
